density,repetition,seed,algorithm,runtime_seconds,betti_number
0.1,122,123,recursive_basis,0.000531300000147894,0
0.1,123,124,general,0.009782600012840703,0
0.1,123,124,recursive_basis,0.0005916999944020063,0
0.1,123,124,recursive_no_basis,0.0008616999839432538,0
0.1,124,125,recursive_basis,0.0005176999839022756,0
0.1,124,125,recursive_no_basis,0.0004749000072479248,0
0.1,124,125,general,0.011484499991638586,0
0.1,125,126,recursive_no_basis,0.0005003999976906925,0
0.1,125,126,general,0.00777100000414066,0
0.1,125,126,recursive_basis,0.0005332000146154314,0
0.1,126,127,general,0.008416600001510233,0
0.1,126,127,recursive_basis,0.0005856999778188765,0
0.1,126,127,recursive_no_basis,0.0005218999867793173,0
0.1,127,128,recursive_basis,0.0005650000239256769,0
0.1,127,128,recursive_no_basis,0.000514000013936311,0
0.1,127,128,general,0.013964700017822906,0
0.1,128,129,recursive_no_basis,0.0005521000130102038,0
0.1,128,129,general,0.012061099987477064,0
0.1,128,129,recursive_basis,0.0005972999788355082,0
0.1,129,130,general,0.010131000017281622,0
0.1,129,130,recursive_basis,0.0005624999757856131,0
0.1,129,130,recursive_no_basis,0.003042500000447035,0
0.1,130,131,recursive_basis,0.0006131000118330121,0
0.1,130,131,recursive_no_basis,0.0004983999824617058,0
0.1,130,131,general,0.007824800006346777,0
0.1,131,132,recursive_no_basis,0.0005006999999750406,0
0.1,131,132,general,0.011016899981768802,0
0.1,131,132,recursive_basis,0.000607299996772781,0
0.1,132,133,general,0.0068270999763626605,0
0.1,132,133,recursive_basis,0.0005296000163070858,0
0.1,132,133,recursive_no_basis,0.0005788000125903636,0
0.1,133,134,recursive_basis,0.0005184000183362514,0
0.1,133,134,recursive_no_basis,0.002854599995771423,0
0.1,133,134,general,0.00798300001770258,0
0.1,134,135,recursive_no_basis,0.0005150999932084233,0
0.1,134,135,general,0.015191500016953796,0
0.1,134,135,recursive_basis,0.0012528999941423535,0
0.1,135,136,general,0.008630199998151511,0
0.1,135,136,recursive_basis,0.0005433000042103231,0
0.1,135,136,recursive_no_basis,0.0005318000039551407,0
0.1,136,137,recursive_basis,0.0005176000122446567,0
0.1,136,137,recursive_no_basis,0.0005018000083509833,0
0.1,136,137,general,0.006442900019465014,0
0.1,137,138,recursive_no_basis,0.0004861000052187592,0
0.1,137,138,general,0.007502599997678772,0
